Image_Path,Patient_Text,Severity_Label
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Psoriasis-penis-25.jpg,"""I have used Halobetasol Propionate 0.05% for over 20 yrs for moderate plaque psoriasis on a daily routine. The only draw back I have noticed is the area treated is thin skinned. Also if I run out and do not use for more than a few days, my psoriasis becomes &quot;angry&quot;. The itching becomes unbearable and the inflammation is awful as is the redness, plus it spreads and becomes bigger. There is pain where the plaques are. I have tried a lot of the OTC medicine and none help me. Just a lot of money spent.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Psoriasis-Hand-39.jpg,"""I just started Humira the beginning of this month, I&#039;ll be taking my fourth shot next week. I have to say I&#039;m very impressed! I&#039;ve had psoriasis since I was 18 and I&#039;m almost 22 now. I have it on my elbows, legs, feet and scalp. After the first 2 starter doses, my elbows are completely cleared. The spots on my legs and feet are in the process of fading! I&#039;m so anxious to see the improvement after a few months! The only side effects I&#039;ve noticed is that I&#039;m much more tired and my muscles are achy .. But I much rather deal with that any day of my psoriasis. I strongly suggest trying this medicine if you are struggling with psoriasis. I was honestly out of options, tried everything else and nothing ever worked. TRY IT.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Lichen-Planus-Oral-44.jpg,"""I developed a severe case of psoriasis soon after my 18th birthday, with 90% of my body covered. For years I tried everything under the sun including steroids, PUVA, all topicals, Embrel, Humira, and methotrexate. The only thing that ever helped was the metho and if I tried to go off of it, I would be unable to leave the house for months on end, living in excruciating pain. I had been on metho for over 30 years, resigned to a life of weekly nausea and chronic lethargy, when my new doctor suggested Stelara. I tried it, positive that it would fail like everything else I had tried. And that was when life began for me again. I have now been on it for 1.5 years and for the most part completely clear. It has been a miracle for me!""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/pityriasis-rubra-pilaris-27.jpg,"""Hello, I am 27 and started having psoriasis when I was 20. I am covered 80%. My rheumothogist has started me on methotrexate shot once a week as well as folic acid everyday but the day of the shot. I am currently on day 5, my skin has stopped forming layers about 90% but still red and small patches here and there. From the time I got the shot, I have only felt low energy and low appetite. No serious side effects. I must add before going on methotrexate, you should start eating healthier and detox the body the best you can for a month prior to going on methotrexate. If you don&#039;t you are doing more harm than good because your immune system is going to sleep mode and if you got a load of junk and bad bacteria left they will just take over.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/psoriasis-palms-soles-92.jpg,"""I have suffered from severe plaque psoriasis for ten years. I have taken every biologic medicine that is available and Stelara has been by far the BEST. It has totally changed my life the past two years and the GOOD news is my dermatologist said it is not one of the medicines that eventually stops working like the others. If it clears you and you are healthy with no major side effects its possible to live a psoriasis free life for years! The side effects of many biologics were harsh especially Remicade but the last two years on Stelara I have only noticed a bit of fatigue and only one upper respiratory infection.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Psoriasis-Guttate-31.jpg,"""Psoriasis since 16 now 26 and tried everything! Humira was great it changed my life for better and with no major issues. If anything it made me lose weight. It lasted like almost 3 years. Obviously it&#039;s like any other treatments.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Psoriasis-Chronic-Plaque-126.jpg,"""I lived with severe psoriasis for almost 10 years. It covered almost 90% of my body. I&#039;ve tried every medication available - methotrexate, Raptiva, and several others. Remicade has been a mircale for me. Short sleeves, clean scalp, no psoriasis. It has changed my life with an infusion for a couple of hours every other month. I live with confidence again.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/psoriasis-scalp-29.jpg,"""I was on Humira for maybe 6 months. It was amazing how my psoriasis was disappearing before my eyes. A couple months in I began to become unstable when standing. I used handrails and the kids as a crutch. Eventually that wasn&#039;t enough I needed my husband and soon after a Cain. I had to teach myself how to walk again with physical therapy it took 30 minutes just to walk three houses down and back. I went back to the Dr who said in rare cases it can cause MS like symptoms and I was very saddened to be removed from this medicine. Within weeks I was back to normal. But here&#039;s the kicker I had plaque psoriasis on about 30 percent of my body when I started Humira. 2 yrs later I am covered in about 90 percent n it has this since age 11! SAD!!""",Severe
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Lichen-Sclerosus-Skin-13.jpg,"""Best medicine around.  I have been in a trial study for 5 years with Stelara, it has been wonderful.  I have been 100% clear for the 5 years.  No real side effects.  I had my last study dose in September 2010, I broke out in January 2011 just a little.  I go to get my shot again in February 2011.  I can not wait.""",Mild
/kaggle/input/datasets/shubhamgoel27/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/pityriasis-rubra-pilaris-55.jpg,"""I have used Humira for about 1 year and 4 months.  This has been great.  I still use the Clobex spray on the tough spots that seem to never clear up.  But, they are very small.  If you are suffering from psoriasis then I would recommend trying Humira for sure.  The warnings they give make me a little nervous however.  I had moderate Psoriasis that seemed to be getting worse with time.  I had large places on my shins and was getting places on my scalp and my back and chest.  I thank my Doctor every time I see him for offering Humira to me.  I hope it keeps working with no side effects.  I am 46 years old and this Psoriasis hit me about three years ago from nowhere, no family history of it.""",Mild
